,time,high,low,open,volumefrom,volumeto,close,RealTime
1634,1614124800,1181.4,1123.29,1119.23,738756.84,850651950.78,1151.46,2021-02-24
1635,1614211200,1107.49,1046.2,1151.46,550154.97,582057392.05,1057.99,2021-02-25
1636,1614297600,1084.89,1038.2,1057.99,709332.17,737850800.45,1040.2,2021-02-26
1637,1614384000,1075.22,1032.28,1040.2,516476.54,543635896.93,1052.59,2021-02-27
1638,1614470400,1027.38,970.37,1052.59,749531.09,762767237.91,1017.66,2021-02-28
1639,1614556800,1144.79,1103.4,1017.66,631491.71,713010982.74,1129.09,2021-03-01
1640,1614643200,1120.68,1068.81,1129.09,588281.11,628757880.02,1068.81,2021-03-02
1641,1614729600,1157.0,1113.45,1068.81,548647.72,620048757.43,1130.14,2021-03-03
1642,1614816000,1125.55,1084.37,1130.14,528435.7,586482288.06,1109.85,2021-03-04
1643,1614902400,1126.25,1085.35,1109.85,522360.51,577626094.83,1105.8,2021-03-05
1644,1614988800,1214.04,1106.02,1105.8,675111.95,805075930.45,1192.51,2021-03-06
1645,1615075200,1264.42,1193.7,1192.51,528655.99,659874075.81,1248.21,2021-03-07
1646,1615161600,1337.47,1274.13,1248.21,687897.54,913520962.86,1327.99,2021-03-08
1647,1615248000,1392.42,1323.96,1327.99,529095.46,713274033.64,1348.1,2021-03-09
1648,1615334400,1369.75,1274.18,1348.1,612139.45,789806356.62,1290.24,2021-03-10
1649,1615420800,1341.91,1300.95,1290.24,696831.87,911156283.8,1307.57,2021-03-11
1650,1615507200,1314.06,1255.19,1307.57,587385.95,746230180.5,1270.43,2021-03-12
1651,1615593600,1397.7,1345.88,1270.43,580487.99,800385625.72,1378.82,2021-03-13
1652,1615680000,1335.46,1311.67,1378.82,388829.67,517282795.26,1330.36,2021-03-14
1653,1615766400,1292.97,1232.43,1330.36,597863.92,773019861.54,1292.97,2021-03-15
1654,1615852800,1340.03,1291.67,1292.97,522780.88,679759952.53,1300.28,2021-03-16
1655,1615939200,1366.8,1303.17,1300.28,453140.18,590902624.3,1304.02,2021-03-17
1656,1616025600,1299.98,1262.25,1304.02,419352.11,535759266.58,1277.59,2021-03-18
